duration,rms_mean,rms_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,chroma_std_mean,label,source
0.085875,0.0077808383,0.00074927264,505.0805982261253,1166.8723073128158,0.0008049948,0.0014105902777777778,-615.8137,131.90764,18.77866,20.400915,8.403726,6.391257,11.784694,16.370764,20.866076,19.461374,9.5656,8.85531,0.66491437,0.1579973,sb,23M74M
0.2871875,0.016866865,0.006067982,226.74489064907723,796.2300949587739,0.0003632398,0.0006061422413793104,-711.3628,118.663666,65.57812,39.454105,25.27335,14.376762,9.027151,10.82768,13.20069,17.414118,14.772657,9.852814,5.135589,0.08488965,mb,23M74M
0.40525,0.0061190855,0.0020771616,316.9600695550121,991.6787056368744,0.00029150458,0.0030964176829268294,-739.4726,121.76308,83.27082,57.252377,30.272165,14.232493,3.0836177,4.4890656,2.430324,4.6133347,-1.0187384,-0.7012041,-2.8280199,0.18140574,h,23M74M
0.0778125,0.0024772733,0.00031744895,817.2933670645223,1518.7247596350287,0.0041602654,0.0089111328125,-645.6243,126.202896,49.560333,27.174866,9.145614,2.426396,-3.6827364,0.37996984,5.7297373,13.259125,9.143192,8.926878,4.7111526,0.19749886,sb,23M74M
0.067125,0.012786909,0.0026577883,544.8994894388693,1207.6115761694832,0.00083952915,0.001953125,-576.6709,143.92496,39.149353,15.810906,-1.305827,-2.9004161,0.8351311,12.375958,14.662486,14.911955,10.746218,5.32013,1.7272388,0.12604055,sb,23M74M
0.14225,0.005344009,0.0011416817,604.1968644974979,1284.0310105747465,0.0014361871,0.0048177083333333336,-638.4305,133.06119,35.62425,11.065706,6.2354703,6.3084817,4.3123984,12.846193,14.926996,15.05013,10.773435,12.758423,6.653028,0.14782979,mb,23M74M
0.12075,0.008986427,0.0028200462,587.7530210176396,1231.8730408253132,0.0024863349,0.001727764423076923,-615.1333,136.77242,31.98824,23.416199,17.004017,-0.6626374,0.16565558,11.605672,6.944906,12.589015,17.807823,8.735804,-3.460537,0.11822479,mb,23M74M
0.3515625,0.009493659,0.004470406,444.8033314145332,901.3714813280733,0.00024828722,0.010009765625,-632.1612,165.77713,29.184378,23.208778,10.702847,-10.325382,-6.209007,20.097378,18.054188,13.37748,14.759203,10.553929,0.020992331,0.27268943,mb,23M74M
0.067125,0.009234033,0.004074006,323.5962300048649,1047.1576060130162,0.0001782315,0.0027901785714285715,-693.0254,119.37397,59.456795,38.723125,20.608171,12.258231,6.7532997,8.163281,6.1535,12.275164,11.361872,11.395648,7.2742305,0.066137515,sb,23M74M
0.064,0.004710998,0.001001199,1001.7534880199719,1645.0672282201183,0.0076946914,0.002232142857142857,-545.47253,124.29313,29.88283,10.012252,-3.376691,-1.2739078,3.4908752,10.1006,11.748461,11.942903,7.76995,5.343543,2.000807,0.19229269,sb,23M74M
0.064,0.008525372,0.0019305208,690.5323167205037,1468.9705454403395,0.0016513804,0.0005580357142857143,-584.8262,118.75736,36.687855,21.915789,7.9219785,6.6902876,6.8586874,10.670384,11.596654,9.760089,6.935395,5.7123566,3.9527538,0.06036976,sb,23M74M
0.1234375,0.00574088,0.0011056641,418.86285377379187,1150.4633192051767,0.0005128658,0.003605769230769231,-702.30505,118.183464,51.030678,21.285107,0.30131486,3.974944,9.231726,21.023733,23.293213,20.742605,13.149955,9.9537945,1.468247,0.11948959,mb,23M74M
